Time,T2_mean,T2_WRF_mean,T2_max,T2_WRF_max,T2_min,T2_WRF_min,P_WRF_mean,P_WRF_max,P_WRF_min,U10_WRF_mean,U10_WRF_max,U10_WRF_min,V10_WRF_mean,V10_WRF_max,V10_WRF_min
2018-08-01,7.289125,6.188844092,10.315,8.996246,4.741,3.9967651,1021.672345,1022.5464,1019.82935,0.7067734388,1.9954412,-1.3976592,-1.085020897,0.6844624,-3.213437
2018-08-02,6.722833333,7.059789,8.688,8.473938,3.808,6.088379,1013.228517,1019.4493,1006.7047,-1.606568746,-0.4246783,-2.7403998,-8.155236279,-2.260571,-14.708159
2018-08-03,8.512666667,8.666885375,10.485,10.064514,6.862,7.356659,1013.217683,1017.1893,1006.24725,2.963737849,5.0421257,-0.46196443,-6.298607646,-3.3198662,-14.987926
2018-08-04,9.193375,9.807223062,10.076,10.348267,8.58,9.308411,1011.110373,1016.81366,1007.59033,0.9984530267,2.5995567,-0.95813626,-11.36149565,-7.98794,-14.643864
2018-08-05,10.04316667,9.731877625,10.889,10.893433,8.586,8.84494,1008.524605,1009.96643,1006.033,1.074014032,3.0701928,-0.9600272,-5.037792215,-0.57219285,-8.228332
2018-08-06,8.650958333,8.431077354,10.406,9.122437,7.607,7.025116,1006.838058,1010.1102,1004.6202,0.2382837892,2.816802,-2.0099738,-1.239284615,6.7510614,-5.4512115
2018-08-07,7.536625,6.484366142,10.002,9.265076,4.741,3.643158,1018.753235,1026.6243,1010.7149,0.9971109454,3.2793527,-2.588982,-1.710083108,2.8510225,-6.4528446
2018-08-08,9.234083333,8.323265113,11.043,10.316589,7.084,7.1253357,1024.239236,1028.281,1016.8019,-1.586347366,-0.13520508,-2.712504,-5.600741729,-2.9811065,-7.539844
2018-08-09,9.354208333,8.833086604,10.093,9.793945,8.495,8.253601,1015.623288,1017.2928,1014.935,-0.9305530058,0.56164724,-1.9970858,-4.423709192,-2.6283076,-6.5801487
2018-08-10,9.324791667,8.627232812,11.816,9.953644,7.647,7.370056,1017.427902,1018.8053,1015.74414,-0.7427056187,1.6026359,-2.1982296,-2.972072214,-0.13322112,-5.030152
2018-08-11,8.746875,7.762435858,10.497,9.665466,7.124,5.514099,1013.626223,1016.608,1012.23975,-0.6555067455,1.7730025,-2.2488387,-4.156341359,1.2186753,-9.187211
2018-08-12,10.0715,9.465807604,12.112,10.600983,8.978,8.699188,1014.292393,1014.8674,1013.22266,-0.97468242,1.6312143,-3.0113893,-8.091509129,-5.2230105,-9.8844595
2018-08-13,9.25175,8.8686879,10.997,9.785034,7.061,6.5322876,1017.558243,1027.0627,1011.5057,1.898843608,6.332199,-3.7202919,-3.544825916,2.466889,-11.925756
2018-08-14,8.040416667,7.613838188,10.303,9.360626,5.913,6.129059,1025.524802,1027.6924,1022.06726,-0.2758278842,1.6760812,-2.4198508,-6.79214701,-0.009226849,-9.8197155
2018-08-15,9.126333333,8.435209917,10.588,9.833099,7.88,7.463867,1018.171067,1021.96906,1015.11774,-1.508170339,-0.21699364,-3.4638133,-6.988330546,-5.6013627,-9.074612
2018-08-16,9.536708333,8.820425675,10.491,9.738434,8.66,7.9639587,1012.913421,1014.8485,1011.40356,-0.3892482937,1.6333104,-2.6079597,-10.71223738,-7.375065,-13.173804
2018-08-17,8.426458333,8.630001133,11.105,10.558289,4.661,6.6834106,1015.251832,1017.9071,1014.1777,1.357114164,4.3358374,-0.93604076,-4.817683779,3.9672937,-9.439232
2018-08-18,6.362416667,5.54638035,8.54,7.589325,4.804,3.919403,1027.308288,1034.5052,1019.12537,2.863102465,5.6134176,-0.33585495,0.2490209371,4.7511406,-3.994635
2018-08-19,6.054791667,5.358029696,8.631,7.802948,3.342,3.341858,1034.730771,1036.979,1029.8029,0.3586053183,2.0777366,-1.7212445,3.078144422,6.886084,-1.0537384
2018-08-20,7.202958333,7.507844271,10.457,10.271149,5.054,4.9262085,1022.26539,1029.2118,1019.5119,0.3681597439,1.4948581,-0.41580138,3.832106508,6.3545723,1.7954817
2018-08-21,7.13375,7.150511421,10.406,10.213593,4.115,4.7154236,1017.096188,1019.72485,1013.3164,-0.2357029788,1.0682054,-1.6939352,-2.096685136,2.0638208,-7.9907293
2018-08-22,8.377916667,8.815282146,9.069,9.689545,7.09,8.029083,1003.249708,1012.71075,997.4791,-0.5337839075,5.657156,-2.8914979,-10.59344015,-6.2609987,-14.996212
2018-08-23,6.795166667,6.918005567,8.819,8.640106,5.168,4.7901306,1009.711891,1022.74243,997.84064,3.552170017,7.051204,-0.4003708,0.9938752652,8.715015,-5.8564777
