Time,T2,T2_WRF
01/08/18 00:00,5.941,7.134369
01/08/18 01:00,5.748,6.8966675
01/08/18 02:00,6.76,6.429596
01/08/18 03:00,7.067,5.858124
01/08/18 04:00,6.777,5.532837
01/08/18 05:00,7.09,5.1955566
01/08/18 06:00,6.868,5.2586975
01/08/18 07:00,6.447,4.7802124
01/08/18 08:00,6.874,4.580902
01/08/18 09:00,6.555,4.3597107
01/08/18 10:00,6.464,4.151062
01/08/18 11:00,6.39,3.9967651
01/08/18 12:00,5.327,4.4411926
01/08/18 13:00,5.281,4.446045
01/08/18 14:00,8.608,4.744873
01/08/18 15:00,8.921,5.7894897
01/08/18 16:00,8.114,7.105835
01/08/18 17:00,10.315,8.713654
01/08/18 18:00,10.161,8.996246
01/08/18 19:00,9.501,8.860077
01/08/18 20:00,9.501,8.750916
01/08/18 21:00,9.206,8.139374
01/08/18 22:00,6.282,7.7847595
01/08/18 23:00,4.741,6.5852966
02/08/18 00:00,3.916,6.2536316
02/08/18 01:00,3.808,6.3870544
02/08/18 02:00,4.138,6.5051575
02/08/18 03:00,4.104,6.5794373
02/08/18 04:00,4.673,6.380493
02/08/18 05:00,5.202,6.1967773
02/08/18 06:00,5.588,6.088379
02/08/18 07:00,6.151,6.089203
02/08/18 08:00,6.697,6.136627
02/08/18 09:00,6.68,6.4415894
02/08/18 10:00,6.76,6.7933655
02/08/18 11:00,6.692,6.698303
02/08/18 12:00,6.868,6.751953
02/08/18 13:00,7.67,6.6705017
02/08/18 14:00,7.408,6.8477783
02/08/18 15:00,7.949,7.482086
02/08/18 16:00,8.478,7.5903015
02/08/18 17:00,8.597,7.977356
02/08/18 18:00,8.097,8.371155
02/08/18 19:00,8.37,8.473938
02/08/18 20:00,8.37,8.445129
02/08/18 21:00,8.688,8.279816
02/08/18 22:00,8.171,8.027832
02/08/18 23:00,8.273,7.9670715
03/08/18 00:00,8.574,8.151581
03/08/18 01:00,8.654,8.338715
03/08/18 02:00,8.569,8.990234
03/08/18 03:00,8.074,9.002808
03/08/18 04:00,7.488,8.520325
03/08/18 05:00,7.67,8.153778
03/08/18 06:00,7.579,7.946228
03/08/18 07:00,8.102,7.768463
03/08/18 08:00,8.296,7.7946167
03/08/18 09:00,7.494,8.005554
03/08/18 10:00,7.898,7.56192
03/08/18 11:00,8.199,7.356659
03/08/18 12:00,6.862,7.4215393
03/08/18 13:00,7.67,7.734009
03/08/18 14:00,8.29,8.35614
03/08/18 15:00,8.682,9.397522
03/08/18 16:00,8.819,9.7361145
03/08/18 17:00,9.7,9.938232
03/08/18 18:00,9.598,10.064514
03/08/18 19:00,10.485,9.7751465
03/08/18 20:00,9.609,9.637909
03/08/18 21:00,9.695,9.441864
03/08/18 22:00,9.086,9.398163
03/08/18 23:00,9.211,9.513214
04/08/18 00:00,8.682,9.510864
04/08/18 01:00,8.899,9.524811
04/08/18 02:00,8.586,9.447632
04/08/18 03:00,8.671,9.368256
04/08/18 04:00,8.671,9.308411
04/08/18 05:00,8.58,9.357727
04/08/18 06:00,8.654,9.572296
04/08/18 07:00,8.648,9.534851
04/08/18 08:00,8.808,9.627686
04/08/18 09:00,8.967,9.783478
04/08/18 10:00,8.955,9.859039
04/08/18 11:00,8.995,9.94455
04/08/18 12:00,8.984,9.9436035
04/08/18 13:00,9.069,9.876678
04/08/18 14:00,9.2,9.855408
04/08/18 15:00,9.382,9.854004
04/08/18 16:00,9.604,9.98056
04/08/18 17:00,9.467,10.174622
04/08/18 18:00,9.78,10.348267
04/08/18 19:00,10.002,10.279541
04/08/18 20:00,9.991,10.137024
04/08/18 21:00,9.985,10.059418
04/08/18 22:00,9.985,10.027557
04/08/18 23:00,10.076,9.99707
05/08/18 00:00,10.076,10.028595
05/08/18 01:00,10.07,10.116516
05/08/18 02:00,10.082,10.097473
05/08/18 03:00,9.678,10.017944
05/08/18 04:00,9.473,10.125183
05/08/18 05:00,9.695,9.92276
05/08/18 06:00,10.013,9.296112
05/08/18 07:00,9.604,9.519104
05/08/18 08:00,8.614,9.095947
05/08/18 09:00,8.586,9.048828
05/08/18 10:00,9.206,8.938324
05/08/18 11:00,10.099,8.84494
05/08/18 12:00,10.008,8.874939
05/08/18 13:00,10.087,9.150818
