Time,T2,T2_WRF
01/08/18 00:00,7.62,9.063416
01/08/18 01:00,6.51,8.90152
01/08/18 02:00,6.03,8.8923645
01/08/18 03:00,5.95,8.976349
01/08/18 04:00,6.28,9.0807495
01/08/18 05:00,6.38,9.043793
01/08/18 06:00,6.1,8.971313
01/08/18 07:00,5.57,8.628693
01/08/18 08:00,5.46,8.48407
01/08/18 09:00,5.49,8.416748
01/08/18 10:00,5.51,8.302185
01/08/18 11:00,5.44,8.19043
01/08/18 12:00,4.56,8.212524
01/08/18 13:00,4.9,8.171967
01/08/18 14:00,6.15,8.0859375
01/08/18 15:00,8.59,8.397217
01/08/18 16:00,9.11,8.651642
01/08/18 17:00,9.58,8.66803
01/08/18 18:00,9.61,8.7221985
01/08/18 19:00,10.2,9.200562
01/08/18 20:00,9.51,9.205872
01/08/18 21:00,9.53,9.140533
01/08/18 22:00,8.37,8.872467
01/08/18 23:00,6.61,8.569061
02/08/18 00:00,6.18,8.3532715
02/08/18 01:00,6.05,7.7941895
02/08/18 02:00,4.9,7.7727966
02/08/18 03:00,4.27,7.860901
02/08/18 04:00,3.8,7.8616333
02/08/18 05:00,2.8,7.8862915
02/08/18 06:00,2.53,7.946228
02/08/18 07:00,3.43,7.9129333
02/08/18 08:00,3.77,8.16449
02/08/18 09:00,3.83,8.291412
02/08/18 10:00,4.69,8.186798
02/08/18 11:00,7.02,8.230957
02/08/18 12:00,4.82,8.415741
02/08/18 13:00,6.84,8.607605
02/08/18 14:00,10.34,8.856995
02/08/18 15:00,9.88,9.100739
02/08/18 16:00,10.12,9.148254
02/08/18 17:00,10.39,9.119629
02/08/18 18:00,10.66,9.232971
02/08/18 19:00,10.25,9.534363
02/08/18 20:00,9.76,9.398743
02/08/18 21:00,9.53,9.322998
02/08/18 22:00,9.26,9.340973
02/08/18 23:00,9.93,9.296478
03/08/18 00:00,9.76,9.429352
03/08/18 01:00,10.08,9.28775
03/08/18 02:00,9.85,9.391113
03/08/18 03:00,9.68,9.35791
03/08/18 04:00,9.98,9.388031
03/08/18 05:00,10.05,9.241516
03/08/18 06:00,9.93,9.27002
03/08/18 07:00,9.73,9.564453
03/08/18 08:00,9.9,9.545959
03/08/18 09:00,9.19,9.52533
03/08/18 10:00,9.16,9.454437
03/08/18 11:00,9.51,9.668671
03/08/18 12:00,7.69,9.437988
03/08/18 13:00,9.95,9.646851
03/08/18 14:00,9.48,9.564606
03/08/18 15:00,10.25,9.554077
03/08/18 16:00,10.49,9.646912
03/08/18 17:00,10.93,9.718903
03/08/18 18:00,10.69,9.7052
03/08/18 19:00,9.9,9.796295
03/08/18 20:00,9.95,9.9687195
03/08/18 21:00,9.93,9.946655
03/08/18 22:00,10.17,9.833282
03/08/18 23:00,9.93,9.851044
04/08/18 00:00,9.93,9.968903
04/08/18 01:00,10.05,9.927826
04/08/18 02:00,10,9.899872
04/08/18 03:00,10.15,9.896271
04/08/18 04:00,10.17,9.953674
04/08/18 05:00,9.68,10.021301
04/08/18 06:00,9.85,10.160889
04/08/18 07:00,9.93,9.870026
04/08/18 08:00,10.22,9.907684
04/08/18 09:00,10.2,9.947449
04/08/18 10:00,10.34,9.977264
04/08/18 11:00,10.44,10.0199585
04/08/18 12:00,10.66,10.00766
04/08/18 13:00,10.91,10.048035
04/08/18 14:00,11.03,10.045593
04/08/18 15:00,11.2,10.0191345
04/08/18 16:00,11.27,10.053131
04/08/18 17:00,11.08,10.108704
04/08/18 18:00,11.18,10.154175
04/08/18 19:00,11.25,10.093292
04/08/18 20:00,11.2,10.108673
04/08/18 21:00,11.25,10.165924
04/08/18 22:00,11.13,10.139709
04/08/18 23:00,11.25,10.087158
05/08/18 00:00,11.18,10.069916
05/08/18 01:00,11.2,9.82724
05/08/18 02:00,11.08,9.861267
05/08/18 03:00,10.59,9.921448
05/08/18 04:00,10.12,9.709045
05/08/18 05:00,10.27,9.580475
05/08/18 06:00,9.51,9.54364
05/08/18 07:00,9.85,9.316254
05/08/18 08:00,10.64,9.119659
05/08/18 09:00,10.57,8.911255
05/08/18 10:00,10.34,8.912842
05/08/18 11:00,9.85,8.78125
05/08/18 12:00,9.8,9.035614
05/08/18 13:00,9.93,9.05423
05/08/18 14:00,10.37,9.077423
05/08/18 15:00,10.66,9.10376
05/08/18 16:00,11.03,9.145966
05/08/18 17:00,11.1,9.1796875
05/08/18 18:00,11.22,9.474823
05/08/18 19:00,11.66,9.576599
05/08/18 20:00,10.76,9.419861
05/08/18 21:00,9.21,9.503021
05/08/18 22:00,9.58,9.374329
05/08/18 23:00,9.41,9.31839
06/08/18 00:00,9.39,9.280701
06/08/18 01:00,8.67,9.319977
06/08/18 02:00,8.27,9.41803
06/08/18 03:00,8.09,9.445709
06/08/18 04:00,8.02,9.43277
06/08/18 05:00,7.97,9.3810425
06/08/18 06:00,7.84,9.258606
06/08/18 07:00,7.97,8.904114
06/08/18 08:00,7.92,8.922913
06/08/18 09:00,7.92,8.971039
