Time,T2,T2_WRF
01/08/18 00:00,7.19,6.748535
01/08/18 01:00,7.59,6.693207
01/08/18 02:00,7.29,6.693512
01/08/18 03:00,7.67,6.621399
01/08/18 04:00,7.69,6.5536804
01/08/18 05:00,7.54,6.2319336
01/08/18 06:00,7.54,6.040161
01/08/18 07:00,7.67,5.6195984
01/08/18 08:00,7.72,4.8841248
01/08/18 09:00,7.49,5.205414
01/08/18 10:00,7.29,4.8852234
01/08/18 11:00,6.74,4.607849
01/08/18 12:00,6.51,4.3986206
01/08/18 13:00,6.76,4.3174133
01/08/18 14:00,7.97,4.7164
01/08/18 15:00,8.87,5.6639404
01/08/18 16:00,9.01,8.269043
01/08/18 17:00,8.72,9.090393
01/08/18 18:00,8.87,8.520874
01/08/18 19:00,10.79,8.615509
01/08/18 20:00,10.96,8.65152
01/08/18 21:00,10.03,8.131195
01/08/18 22:00,6.61,6.642395
01/08/18 23:00,6.99,6.9098816
02/08/18 00:00,6.41,7.1197205
02/08/18 01:00,6.41,6.7373962
02/08/18 02:00,5.69,6.3451843
02/08/18 03:00,6.56,6.403961
02/08/18 04:00,5.59,6.0794983
02/08/18 05:00,5.49,6.3036194
02/08/18 06:00,5.02,6.2489624
02/08/18 07:00,6.51,6.382141
02/08/18 08:00,6.36,6.1994934
02/08/18 09:00,6.43,6.412262
02/08/18 10:00,6.86,6.3131714
02/08/18 11:00,6.89,6.014374
02/08/18 12:00,6.96,6.2472534
02/08/18 13:00,7.27,6.3049927
02/08/18 14:00,7.74,6.728607
02/08/18 15:00,8.44,7.0829163
02/08/18 16:00,8.57,7.349365
02/08/18 17:00,8.64,7.4660645
02/08/18 18:00,8.47,7.6362915
02/08/18 19:00,8.42,7.4035645
02/08/18 20:00,8.67,7.335785
02/08/18 21:00,8.59,7.740967
02/08/18 22:00,8.07,8.570251
02/08/18 23:00,8.27,8.877106
03/08/18 00:00,8.14,9.02655
03/08/18 01:00,8.32,8.785095
03/08/18 02:00,7.67,8.641357
03/08/18 03:00,7.95,8.159576
03/08/18 04:00,8.49,7.906708
03/08/18 05:00,8.54,7.724182
03/08/18 06:00,8.37,7.7078247
03/08/18 07:00,8.24,7.7251587
03/08/18 08:00,7.54,6.836334
03/08/18 09:00,7.77,6.4530334
03/08/18 10:00,8.05,7.3083496
03/08/18 11:00,7.67,7.255554
03/08/18 12:00,7.32,6.7547913
03/08/18 13:00,7.49,6.928467
03/08/18 14:00,7.09,6.9820557
03/08/18 15:00,7.37,8.329926
03/08/18 16:00,9.46,8.84433
03/08/18 17:00,10.12,9.555359
03/08/18 18:00,9.9,8.555847
03/08/18 19:00,8.44,9.110107
03/08/18 20:00,8.67,8.800507
03/08/18 21:00,8.44,8.567841
03/08/18 22:00,8.72,8.654236
03/08/18 23:00,8.72,8.716766
04/08/18 00:00,8.39,8.725464
04/08/18 01:00,8.34,8.799011
04/08/18 02:00,8.47,8.858337
04/08/18 03:00,8.52,9.067474
04/08/18 04:00,8.84,9.259766
04/08/18 05:00,9.14,9.349304
04/08/18 06:00,9.26,9.588501
04/08/18 07:00,9.58,9.820984
04/08/18 08:00,9.85,9.950623
04/08/18 09:00,10.08,9.977203
04/08/18 10:00,10.34,9.889526
04/08/18 11:00,10.52,9.924103
04/08/18 12:00,10.47,9.953033
04/08/18 13:00,10.47,9.957977
04/08/18 14:00,10.59,9.923676
04/08/18 15:00,10.66,10.031342
04/08/18 16:00,10.81,10.117157
04/08/18 17:00,10.66,10.151306
04/08/18 18:00,10.71,10.07016
04/08/18 19:00,10.42,9.963104
04/08/18 20:00,10.74,9.789917
04/08/18 21:00,10.22,9.734283
04/08/18 22:00,10.15,9.713318
04/08/18 23:00,10.17,9.678558
05/08/18 00:00,10.27,9.612396
05/08/18 01:00,10.3,9.45755
05/08/18 02:00,10.17,9.37619
05/08/18 03:00,10.44,9.016052
05/08/18 04:00,10.49,8.72522
05/08/18 05:00,9.98,8.557953
05/08/18 06:00,10,8.583649
05/08/18 07:00,10.22,8.460602
05/08/18 08:00,10.05,8.544159
05/08/18 09:00,9.83,8.854553
05/08/18 10:00,9.83,8.9288025
05/08/18 11:00,9.71,8.798737
05/08/18 12:00,9.53,8.772034
05/08/18 13:00,9.36,8.958496
05/08/18 14:00,9.61,9.075836
05/08/18 15:00,9.76,9.159241
05/08/18 16:00,10.1,9.504028
05/08/18 17:00,10.52,9.206757
05/08/18 18:00,10.64,8.972137
05/08/18 19:00,10.08,8.898682
05/08/18 20:00,9.29,8.616638
05/08/18 21:00,8.84,8.503693
05/08/18 22:00,8.92,8.664276
05/08/18 23:00,9.01,8.099487
06/08/18 00:00,9.24,7.641815
06/08/18 01:00,8.99,7.6185303
06/08/18 02:00,8.87,7.5559387
06/08/18 03:00,8.82,7.1999817
06/08/18 04:00,8.77,6.911194
06/08/18 05:00,8.69,7.147644
06/08/18 06:00,8.52,7.286133
06/08/18 07:00,8.32,7.253845
06/08/18 08:00,8.12,7.0931396
06/08/18 09:00,7.97,6.921356
06/08/18 10:00,7.67,7.063202
06/08/18 11:00,7.62,6.970276
06/08/18 12:00,7.37,7.085785
06/08/18 13:00,7.54,7.122101
06/08/18 14:00,8.17,7.1412354
06/08/18 15:00,8.37,6.974365
06/08/18 16:00,8.54,6.8134155
06/08/18 17:00,8.42,7.155487
06/08/18 18:00,8.69,7.7949524
06/08/18 19:00,9.14,8.147064
06/08/18 20:00,8.92,7.744385
06/08/18 21:00,8.64,7.5940247
06/08/18 22:00,7.82,6.809784
06/08/18 23:00,7.64,6.5884094
07/08/18 00:00,7.22,6.127899
07/08/18 01:00,6.61,5.703644
07/08/18 02:00,6.69,5.122864
07/08/18 03:00,6.46,4.7265015
07/08/18 04:00,6.51,4.518036
07/08/18 05:00,6.33,3.9487305
07/08/18 06:00,5.59,3.2295227
07/08/18 07:00,5.85,3.517334
07/08/18 08:00,5.69,3.5834045
07/08/18 09:00,5.62,3.495575
07/08/18 10:00,4.87,3.495636
07/08/18 11:00,5.92,3.6098938
07/08/18 12:00,6.46,3.8714294
07/08/18 13:00,7.17,4.0169983
07/08/18 14:00,8.57,4.32666
07/08/18 15:00,8,5.4696655
07/08/18 16:00,8.97,8.732727
07/08/18 17:00,8.64,9.645721
07/08/18 18:00,9.06,9.024658
07/08/18 19:00,10.54,9.812775
07/08/18 20:00,10.91,9.184326
07/08/18 21:00,9.39,9.04126
07/08/18 22:00,8.54,7.6762085
07/08/18 23:00,8.42,6.8685303
08/08/18 00:00,8.24,6.479004
08/08/18 01:00,7.62,6.5492554
08/08/18 02:00,7.95,6.4481506
08/08/18 03:00,7.95,6.2709656
08/08/18 04:00,7.19,6.070526
08/08/18 05:00,8,6.373291
08/08/18 06:00,7.87,6.5046387
08/08/18 07:00,7.9,6.8206787
08/08/18 08:00,8.37,6.7644653
08/08/18 09:00,8.72,6.8842773
08/08/18 10:00,8.87,7.006134
08/08/18 11:00,8.49,7.1967163
08/08/18 12:00,8.74,7.3327637
